sector,market_cap,revenue,company,company_id,n_employee,state,headoffice_address,lat,lng
Electronic & Electrical Equipment,2165,1298,FRANKLIN ELECTRIC CO INC,12453,5600,Indiana IN,9255 Coverdale Road Fort Wayne  Indiana IN 46809 United States,40.9995618,-85.2259184
Banks,2162,484,FIRST MERCHANTS CORPORATION,148,1702,Indiana IN,200 East Jackson Street Post Office Box 792 Muncie Indiana IN 47305-2814 United States,40.1932599,-85.3850645
Insurance,2157,222,KINSALE CAPITAL GROUP INC,2497838,190,Virginia VA,2221 Edward Holland Drive Suite 600 Richmond Virginia VA 23230 United States,37.5901548,-77.4889726
Steel & Other Metals,2156,14178,UNITED STATES STEEL CORP,77289,29000,Pennsylvania PA,600 Grant Street Pittsburgh  Pennsylvania PA 15219-2800 United States,40.4414139,-79.9947082
Information Technology Hardware,2145,228,AMBARELLA INC,1894867,750,California CA,3101 Jay Street Santa Clara  California CA 95054 United States,37.3783993,-121.9609087
Speciality & Other Finance,2144,1205,CANNAE HOLDINGS INC,2731967,26413,Nevada NV,1701 Village Center Circle Las Vegas  Nevada NV 89134 United States,36.1904597,-115.2999177
Software & Computer Services,2139,267,TENABLE HOLDINGS INC,2889444,1252,Maryland MD,7021 Columbia Gateway Drive Suite 500 Columbia Maryland MD 21046 United States,39.1745,-76.8015413
Business Services,2135,1509,TTEC HOLDINGS INC ,30323,52400,Colorado CO,9197 South Peoria Street Englewood  Colorado CO 80112-5833 United States,39.5491373,-104.8419049
Investment Companies,2128,95,COHEN & STEERS INFRASTRUCTURE FUND INC ,466229,,New York NY,280 Park Avenue 10th Floor  New York NY 10017 United States,40.7567429,-73.9755649
Electronic & Electrical Equipment,2124,4316,AMKOR TECHNOLOGY INC,2079,30850,Arizona AZ,2045 East Innovation Circle Tempe  Arizona AZ 85284 United States,33.335446,-111.8992443
Health,2119,5081,SELECT MEDICAL HOLDINGS CORP,1584095,47100,Pennsylvania PA,4714 Gettysburg Road Post Box 2034 Mechanicsburg Pennsylvania PA 17055-5036 United States,40.2132252,-76.9603003
Consumer Services,2108,1514,WEIGHT WATCHERS INTERNATIONAL INC,33238,18000,New York NY,675 Avenue of the Americas 6th Floor  New York NY 10010 United States,40.7420901,-73.9941211
Pharmaceuticals and Biotechnology,2105,180,INTERCEPT PHARMACEUTICALS INC,1895298,483,New York NY,10 Hudson Yards 37th Floor  New York NY 10001 United States,40.7536874,-74.0019162
Pharmaceuticals and Biotechnology,2090,532,CAMBREX CORP,5587,1732,New Jersey NJ,One Meadowlands Plaza East Rutherford  New Jersey NJ 07073 United States,40.8061864,-74.0787006
Insurance,2082,1547,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,620944,554,Iowa IA,6000 Westown Parkway West Des Moines  Iowa IA 50266 United States,41.5944384,-93.7917234
Automobiles & Parts,2080,3073,APPLIED INDUSTRIAL TECHNOLOGIES INC,2376,6634,Ohio OH,1 Applied Plaza Cleveland  Ohio OH 44115 United States,41.5038066,-81.6642362
Clothing & Personal Products,2077,676,INTER PARFUMS INC,16277,313,New York NY,551 Fifth Avenue Suite 1500 New York New York NY 10176 United States,40.7553885,-73.9788988
Real Estate,2074,1602,HILLTOP HOLDINGS INC ,421516,5200,Texas TX,2323 Victory Avenue Suite 1400 Dallas Texas TX 75219 United States,32.7855931,-96.8106156
Food Producers & Processors,2065,1014,NATIONAL BEVERAGE CORP,21580,1640,Florida FL,8100 Southwest Tenth Street Suite 4000 Fort Lauderdale Florida FL 33324 United States,26.1083574,-80.2557416
Utilities - Other,2061,916,OTTER TAIL CORPORATION ,23477,2321,Minnesota MN,215 South Cascade Street Post Box 496 Fergus Falls Minnesota MN 56538-0496 United States,46.2821336,-96.0721886
Software & Computer Services,2051,249,SAILPOINT TECHNOLOGIES HOLDINGS INC,2730096,1003,Texas TX,11120 Four Points Drive Suite 100 Austin Texas TX 78726 United States,30.405365,-97.8481259
Health,2044,147,IRHYTHM TECHNOLOGIES INC,2545398,748,California CA,650 Townsend Street Suite 500 San Francisco California CA 94103 United States,37.7710325,-122.4033069
Software & Computer Services,2031,,CHANGE HEALTHCARE INC,3049380,,Tennessee TN,3055 Lebanon Pike Suite 1000 Nashville Tennessee TN 37214 United States,36.1787956,-86.6426089
Pharmaceuticals and Biotechnology,2030,,BIOHAVEN PHARMACEUTICAL HOLDING CO LTD,2653372,63,Connecticut CT,215 Church Street New Haven  Connecticut CT 06510 United States,41.3087009,-72.9234229
Real Estate,2025,3261,TRI POINTE GROUP INC ,1928451,1435,California CA,19540 Jamboree Road Suite 300 Irvine California CA 92612 United States,33.6590389,-117.8603556
Food Producers & Processors,2014,2458,HAIN CELESTIAL GROUP INC,14195,7685,New York NY,1111 Marcus Avenue Lake Success  New York NY 11042 United States,40.7575186,-73.7003652
Steel & Other Metals,2002,3760,WORTHINGTON INDUSTRIES INC,33760,12000,Ohio OH,200 Old Wilson Bridge Road Columbus  Ohio OH 43085 United States,40.110674,-83.021544
Real Estate,1985,233,ALEXANDER'S INC,1351,70,New Jersey NJ,210 Route 4 East Paramus  New Jersey NJ 07652 United States,40.9151949,-74.0547059
Banks,1975,548,BANNER CORP,3541,2187,Washington WA,10 South First Avenue Post Office Box 907 Walla Walla Washington WA 99362-0265 United States,46.0665356,-118.3378654
Information Technology Hardware,1967,3363,SCIENTIFIC GAMES CORP,27312,9700,Nevada NV,6601 Bermuda Road Las Vegas  Nevada NV 89119 United States,36.069687,-115.1561219
Electronic & Electrical Equipment,1958,8177,WESCO INTERNATIONAL INC,33294,9100,Pennsylvania PA,225 West Station Square Drive Suite 700 Pittsburgh Pennsylvania PA 15219 United States,40.434008,-80.005785
Electronic & Electrical Equipment,1952,772,ESCO TECHNOLOGIES INC,10995,3117,Missouri MO,9900A Clayton Road Saint Louis  Missouri MO 63124-1186 United States,38.6368758,-90.3905535
Real Estate,1938,351,PENNYMAC MORTGAGE INVESTMENT TRUST,1622924,3,California CA,3043 Townsgate Road Westlake Village  California CA 91361 United States,34.1518903,-118.8200785
Pharmaceuticals and Biotechnology,1925,55,AKCEA THERAPEUTICS INC,2680801,100,Massachusetts MA,55 Cambridge Parkway Suite 100 Cambridge Massachusetts MA 02142 United States,42.3659483,-71.0758689
Real Estate,1914,169,LTC PROPERTIES INC,19235,21,California CA,2829 Townsgate Road Suite 350 Westlake Villiage California CA 91361 United States,34.1542794,-118.8232066
Real Estate,1904,453,REDWOOD TRUST INC,25921,149,California CA,One Belvedere Place Suite 300 Mill Valley California CA 94941 United States,37.8954912,-122.5143762
Leisure & Hotels,2404,1667,ALLEGIANT TRAVEL CO,1000666,3901,Nevada NV,1201 North Town Center Drive Las Vegas  Nevada NV 89144 United States,36.1844463,-115.3110217
Banks,2389,450,INDEPENDENT BANK GROUP INC,1944082,1087,Texas TX,7777 Henneman Way McKinney  Texas TX 75070-1711 United States,33.1346197,-96.7124106
Pharmaceuticals and Biotechnology,2367,14,ACCELERON PHARMA INC,1985116,173,Massachusetts MA,128 Sidney Street Cambridge  Massachusetts MA 02139 United States,42.3593206,-71.1031663
Health,2343,181,GLAUKOS CORP,2299914,437,California CA,229 Avenida Fabricante San Clemente  California CA 92672 United States,33.441047,-117.5831316
Health,2339,148,INVITAE CORP,2216604,788,California CA,1400 16th Street San Francisco  California CA 94103 United States,37.7668643,-122.4013308
Transport,2322,2509,TRINITY INDUSTRIES INC,31338,11515,Texas TX,2525 North Stemmons Freeway Dallas  Texas TX 75207-2401 United States,32.8054753,-96.8399373
Construction & Building Materials,2318,2476,LCI INDUSTRIES INC ,9618,10260,Indiana IN,3501 County Road 6 East Elkhart  Indiana IN 46514 United States,41.7236612,-85.9187951
General Retailers,2289,1590,WELBILT INC ,2423220,5500,Florida FL,2227 Welbilt Boulevard New Port Richey  Florida FL 34655 United States,28.1917093,-82.6811422
Food Producers & Processors,2263,431,SIMPLY GOOD FOODS CO ,2517704,141,Colorado CO,1225 17th Street Suite 1000 Denver Colorado CO 80202 United States,39.7502764,-104.9952031
Transport,2250,8143,DANA INC ,8660,30900,Ohio OH,3939 Technology Drive Maumee  Ohio OH 43537 United States,41.5675688,-83.6935076
Forestry & Paper,2231,5455,DOMTAR CORPORATION,927273,10000,South Carolina SC,234 Kingsley Park Drive Fort Mill  South Carolina SC 29715 United States,35.0240355,-80.9650887
Chemicals,2219,1994,STEPAN CO,29193,2250,Illinois IL,Edens Expressway and Winnetka Road Northfield  Illinois IL 60093 United States,42.0515499,-87.7620474
Health,2215,,LIVONGO HEALTH INC,3061482,471,California CA,150 West Evelyn Avenue Suite 150 Mountain View California CA 94041 United States,37.3924201,-122.0718045
Banks,2211,727,FIRST MIDWEST BANCORP INC,151,2046,Illinois IL,8750 West Bryn Mawr Avenue Suite 1300 Chicago Illinois IL 60631-3655 United States,41.9830596,-87.8443085
Software & Computer Services,2204,270,VARONIS SYSTEMS INC,2049859,1460,New York NY,1250 Broadway 29th Floor  New York NY 10001 United States,40.7476873,-73.9878772
Banks,2189,670,TRUSTMARK CORP,31417,2856,Mississippi MS,248 East Capitol Street Jackson  Mississippi MS 39201 United States,32.3000762,-90.1842557
Private Equity,2169,370,VERRA MOBILITY CORP ,2648061,713,Arizona AZ,1150 North Alma School Road Mesa  Arizona AZ 85201 United States,33.4354123,-111.857262
Real Estate,2161,157,CARETRUST REIT INC,2072873,57,California CA,905 Calle Amanecer Suite 300 San Clemente California CA 92673 United States,33.4485286,-117.6077043
Leisure & Hotels,2158,3588,PENN NATIONAL GAMING INC,24071,25750,Pennsylvania PA,825 Berkshire Boulevard Suite 200 Wyomissing Pennsylvania PA 19610 United States,40.350785,-75.9689569
Construction & Building Materials,2156,7725,BUILDERS FIRSTSOURCE INC,141427,15000,Texas TX,2001 Bryan Street Suite 1600 Dallas Texas TX 75201 United States,32.7853542,-96.7963319
Software & Computer Services,2149,,PAGERDUTY INC,3020645,524,California CA,600 Townsend St #200 San Francisco California CA 94103 United States,37.771696,-122.4025698
Business Services,2130,1974,KORN FERRY ,18139,8678,California CA,1900 Avenue of the Stars Suite 2600 Los Angeles California CA 90067 United States,34.0603126,-118.4166435
Software & Computer Services,2109,1836,CORECIVIC INC ,7952,13890,Tennessee TN,10 Burton Hills Boulevard Nashville  Tennessee TN 37215 United States,36.0937958,-86.8219556
Media & Entertainment,2107,2972,AMC NETWORKS INC,1710266,3214,New York NY,11 Penn Plaza   New York NY 10001 United States,40.7490725,-73.9914049
Electronic & Electrical Equipment,2099,4827,RESIDEO TECHNOLOGIES INC,2936258,13000,Minnesota MN,1985 Douglas Drive North Golden Valley  Minnesota MN 55422 United States,45.0007561,-93.3636547
Food & Drug Retailers,2092,5207,SPROUTS FARMERS MARKETS INC,1969513,30000,Arizona AZ,5455 East High Street Suite 111 Phoenix Arizona AZ 85054 United States,33.6751214,-111.9635536
Information Technology Hardware,2088,8400,ANIXTER INTERNATIONAL INC,2240,9300,Illinois IL,2301 Patriot Boulevard Glenview  Illinois IL 60026 United States,42.097682,-87.8233018
Banks,2084,464,LEGACYTEXAS FINANCIAL GROUP INC ,872265,881,Texas TX,5851 Legacy Circle Suite 1200 Plano Texas TX 75024 United States,33.0810221,-96.8227276
Insurance,2078,886,PROASSURANCE CORP,25131,991,Alabama AL,100 Brookwood Place Suite 300 Birmingham Alabama AL 35209 United States,33.4660327,-86.773774
Leisure & Hotels,2076,9124,AVIS BUDGET GROUP INC ,6237,30000,New Jersey NJ,6 Sylvan Way Parsippany  New Jersey NJ 07054 United States,40.8486504,-74.4506392
Electronic & Electrical Equipment,2072,1203,CUBIC CORP,8404,5600,California CA,9333 Balboa Avenue San Diego  California CA 92123 United States,32.8214341,-117.1284975
Chemicals,2051,6638,CHEMOURS CO (THE),2300914,7000,Delaware DE,1007 Market Street Post Office Box 2047 Wilmington Delaware DE 19899 United States,39.7463918,-75.5481401
Electronic & Electrical Equipment,2044,2585,BELDEN INC ,5455,9000,Missouri MO,1 North Brentwood Boulevard 15th Floor Saint Louis Missouri MO 63105 United States,38.6509306,-90.3416722
Pharmaceuticals and Biotechnology,2040,773,MYRIAD GENETICS INC,21434,2400,Utah UT,320 Wakara Way Salt Lake City  Utah UT 84108 United States,40.7625221,-111.8258995
Insurance,2034,251,EHEALTH INC,930405,1079,California CA,2625 Augustine Drive Second Floor Santa Clara  California CA 95054 United States,37.3829788,-121.9751267
Real Estate,2030,531,MACK CALI REALTY CORP,19381,352,New Jersey NJ,Harborside 3 210 Hudson Street Suite 400 Jersey City New Jersey NJ 07311 United States,40.7192445,-74.0330877
Business Services,2023,,ASSETMARK FINANCIAL HOLDINGS INC,3058322,620,California CA,1655 Grant Street 10th Floor Concord California CA 94520 United States,37.9746107,-122.0317582
Real Estate,2019,414,URBAN EDGE PROPERTIES,2208282,116,New York NY,888 Seventh Avenue 6th Floor  New York NY 10019 United States,40.7652747,-73.9807922
Pharmaceuticals and Biotechnology,2014,41,XENCOR INC,2019000,156,California CA,111 West Lemon Avenue Monrovia  California CA 91016 United States,34.1472499,-118.0018656
Transport,1995,1654,SAIA INC ,265222,10300,Georgia GA,11465 Johns Creek Parkway Suite 400 Johns Creek Georgia GA 30097 United States,34.0592304,-84.1669679
Banks,1992,515,WESBANCO INC,33291,2388,West Virginia WV,1 Bank Plaza Wheeling  West Virginia WV 26003 United States,40.065986,-80.722907
Chemicals,1989,1608,PQ GROUP HOLDINGS INC,2707495,3188,Pennsylvania PA,300 Lindenwood Drive Valleybrooke Corporate Center Malvern Pennsylvania PA 19355 United States,40.0496275,-75.5288749
Household Products,1985,2091,ECHOSTAR CORP ,1061516,2200,Colorado CO,100 Inverness Terrace East Englewood  Colorado CO 80112-5308 United States,39.5761529,-104.8674443
Oil & Gas,1976,289,VIPER ENERGY PARTNERS LP,2077423,,Texas TX,500 West Texas Suite 1200 Midland Texas TX 79701 United States,31.9988675,-102.0806785
Banks,1965,606,RENASANT CORP ,24138,2359,Mississippi MS,209 Troy Street Post Office Box 709 Tupelo Mississippi MS 38804 4827 United States,34.2562763,-88.7051028
Electronic & Electrical Equipment,1954,883,MERIT MEDICAL SYSTEMS INC,20328,5783,Utah UT,1600 West Merit ParkWay South Jordan  Utah UT 84095 United States,40.5715846,-111.9359502
Business Services,1942,1770,HILLENBRAND INC ,1041928,6500,Indiana IN,One Batesville Boulevard Batesville  Indiana IN 47006 United States,39.2915134,-85.1948341
Information Technology Hardware,1929,1214,DIODES INC,9322,7710,Texas TX,4949 Hedgcoxe Road Suite 200 Plano Texas TX 75024 United States,33.0834733,-96.7996845
Software & Computer Services,1917,210,CARBON BLACK INC,2813388,1138,Massachusetts MA,1100 Winter Street Waltham  Massachusetts MA 02451 United States,42.4093891,-71.2758206
Engineering & Machinery,1913,1089,OSI SYSTEMS INC,23441,6087,California CA,12525 Chadron Avenue Hawthorne  California CA 90250 United States,33.9186321,-118.3302139
Business Services,1909,2354,BRIGHTVIEW HOLDINGS INC,2833897,20000,Pennsylvania PA,401 Plymouth Road Suite 500 Plymouth Meeting Pennsylvania PA 19462 United States,40.1114826,-75.2911062
Banks,1904,479,PACIFIC PREMIER BANCORP INC,580282,1030,California CA,17901 Von Karman Avenue Suite 1200 Irvine California CA 92614 United States,33.6829412,-117.8495502
Publishing,1902,1998,DELUXE CORP,8991,6701,Minnesota MN,3680 Victoria Street North Shoreview  Minnesota MN 55126-2966 United States,45.0539912,-93.1281199
Real Estate,1899,864,DIAMONDROCK HOSPITALITY CO,601972,31,Maryland MD,2 Bethesda Metro Center Suite 1400 Bethesda Maryland MD 20814 United States,38.9844228,-77.0959967
Automobiles & Parts,1896,2984,VISTEON CORP,1680856,10000,Michigan MI,One Village Center Drive Van Buren Township  Michigan MI 48111 United States,42.2421085,-83.4351974
Construction & Building Materials,1895,1360,SKYLINE CHAMPION CORP ,28213,7000,Indiana IN,Post Office Box 743 2520 By-Pass Road Elkhart Indiana IN 46515 United States,41.6815563,-85.9712027
Software & Computer Services,1893,711,COMMVAULT SYSTEMS INC,115527,2559,New Jersey NJ,1 CommVault Way Tinton Falls  New Jersey NJ 07724 United States,40.2998199,-74.0824061
Banks,1891,344,CAPITOL FEDERAL FINANCIAL INC,5759,775,Kansas KS,700 South Kansas Avenue Topeka  Kansas KS 66603-3894 United States,39.0498807,-95.6734879
Software & Computer Services,1891,228,YEXT INC,2646633,900,New York NY,1 Madison Avenue 5th Floor  New York NY 10010 United States,40.7410895,-73.9875092
Containers & Packaging,1890,3874,GREIF INC,13891,13000,Ohio OH,425 Winter Road Delaware  Ohio OH 43015 United States,40.2244946,-83.0458805
Speciality & Other Finance,1890,1757,NELNET INC,461531,6200,Nebraska NE,121 South 13th Street Suite 100 Lincoln Nebraska NE 68508 United States,40.8132816,-96.7028722
Mining,1887,5582,PEABODY ENERGY CORP,2642720,7400,Missouri MO,Peabody Plaza 701 Market Street St Louis Missouri MO 63101-1826 United States,38.626689,-90.1925651
Transport,1886,1090,FEDERAL SIGNAL CORP,11652,3300,Illinois IL,1415 West 22nd Street Suite 1100 Oak Brook Illinois IL 60523 United States,41.8460813,-87.9553377
Renewable Energy,1884,760,SUNRUN INC,2316322,4400,California CA,595 Market Street 29th Floor San Francisco California CA 94105 United States,37.7892515,-122.4008831
Business Services,1884,253,UPWORK INC,2923206,430,California CA,2625 Augustine Drive Suite 601 Santa Clara California CA 95054 United States,37.3829788,-121.9751267
Education,1880,232,PLURALSIGHT INC,2817324,1100,Utah UT,182 North Union Avenue Farmington  Utah UT 84025 United States,40.9837837,-111.9078145
Leisure Goods,1878,1634,ACUSHNET HOLDINGS CORP,2550543,5209,Massachusetts MA,333 Bridge Street Fairhaven  Massachusetts MA 02719 United States,41.6482558,-70.8802538
Engineering & Machinery,1873,4644,COMMERCIAL METALS CO (CMC),7443,8900,Texas TX,6565 North MacArthur Boulevard Suite 800 Irving Texas TX 75039 United States,32.8982848,-96.9599098
Renewable Energy,1869,1726,SUNPOWER CORP,489063,6600,California CA,77 Rio Robles San Jose  California CA 95134 United States,37.4049997,-121.9468666
Pharmaceuticals and Biotechnology,1862,,ZOGENIX INC,1673821,90,California CA,5959 Horton Street Suite 500 Emeryville California CA 94608 United States,37.840952,-122.2915971
Banks,1861,1122,FLAGSTAR BANCORP INC,12030,3938,Michigan MI,5151 Corporate Drive Troy  Michigan MI 48098-2639 United States,42.5935122,-83.176205
Containers & Packaging,1856,6877,OWENS-ILLINOIS INC,23508,26500,Ohio OH,One Michael Owens Way Perrysburg  Ohio OH 43551-2999 United States,41.5285372,-83.6479919
Oil & Gas,1856,1549,PDC ENERGY INC ,24266,600,Colorado CO,1775 Sherman Street Suite 3000 Denver Colorado CO 80203 United States,39.7445109,-104.9851612
Electronic & Electrical Equipment,1854,719,ADVANCED ENERGY INDUSTRIES INC,864,2259,Colorado CO,1625 Sharp Point Drive Fort Collins  Colorado CO 80525 United States,40.5658375,-105.0308111
Wholesale Trade,1851,7080,INSIGHT ENTERPRISES INC,16141,7420,Arizona AZ,6820 South Harl Avenue Tempe  Arizona AZ 85283 United States,33.358338,-111.9681002
Real Estate,1845,597,CHESAPEAKE LODGING TRUST,1620776,13,Virginia VA,4300 Wilson Boulevard Suite 625 Arlington Virginia VA 22203 United States,38.879629,-77.1126498
Construction & Building Materials,1845,4347,JELD-WEN HOLDING INC,2605626,23000,North Carolina NC,2645 Silver Crescent Drive Charlotte  North Carolina NC 28273 United States,35.1377847,-80.9286827
Software & Computer Services,1842,244,WORKIVA INC,2176914,1319,Iowa IA,2900 University Boulevard Ames  Iowa IA 50010 United States,41.9955835,-93.6381312
Software & Computer Services,1839,1959,MANTECH INTERNATIONAL CORP,122662,7800,Virginia VA,2251 Corporate Park Drive Herndon  Virginia VA 20171 United States,38.9534961,-77.3972461
Software & Computer Services,1834,394,BOTTOMLINE TECHNOLOGIES INC,4873,1700,New Hampshire NH,325 Corporate Drive Portsmouth  New Hampshire NH 03801 United States,43.0705301,-70.8000099
Pharmaceuticals and Biotechnology,1832,129,DENALI THERAPEUTICS INC,2741256,179,California CA,151 Oyster Point Boulevard 2nd Floor South San Francisco California CA 94080 United States,37.6634114,-122.3948751
Electronic & Electrical Equipment,1827,827,KNOWLES CORP,2050850,8000,Illinois IL,1151 Maplewood Drive Itasca  Illinois IL 60143 United States,41.969584,-88.030379
Utilities - Other,1826,398,SJW GROUP ,28170,416,California CA,110 West Taylor Street San Jose  California CA 95110 United States,37.3480198,-121.9015287
Speciality & Other Finance,1826,450,LADDER CAPITAL CORP,2041835,72,New York NY,345 Park Avenue 8th Floor  New York NY 10154 United States,40.7579332,-73.9722189
Banks,1819,346,SERVISFIRST BANCSHARES INC,2067944,473,Alabama AL,2500 Woodcrest Place Birmingham  Alabama AL 35209 United States,33.486423,-86.788392
Pharmaceuticals and Biotechnology,1813,,DECIPHERA PHARMACEUTICALS INC,2707471,65,Massachusetts MA,500 Totten Pond Road 6th Floor Waltham Massachusetts MA 02451 United States,42.3964732,-71.2591155
Real Estate,1809,331,NATIONAL STORAGE AFFILIATES TRUST,2238993,461,Colorado CO,8400 East Prentice Avenue 9th Floor Greenwood Village Colorado CO 80111 United States,39.6194555,-104.8911176
Real Estate,1808,298,COLONY CREDIT REAL ESTATE INC ,2771157,,California CA,515 South Flower Street 44th Floor Los Angeles California CA 90071 United States,34.0514008,-118.2569403
Insurance,1807,1192,HORACE MANN EDUCATORS CORP,15053,1495,Illinois IL,1 Horace Mann Plaza Springfield  Illinois IL 62715-0001 United States,39.8022923,-89.6449482
Engineering & Machinery,1806,1175,ALTRA INDUSTRIAL MOTION CORP ,930959,9300,Massachusetts MA,300 Granite Street Suite 201 Braintree Massachusetts MA 02184 United States,42.2173228,-71.0234565
Mining,1801,1494,COMPASS MINERALS INTERNATIONAL INC,487837,3071,Kansas KS,9900 West 109th Street Suite 100 Overland Park Kansas KS 66210 United States,38.9311756,-94.6993448
Food Producers & Processors,1800,1361,CAL-MAINE FOODS INC,5507,3490,Mississippi MS,3320 West Woodrow Wilson Avenue Jackson  Mississippi MS 39209-3409 United States,32.326586,-90.2238067
Transport,1796,1321,FORWARD AIR CORP ,12366,4362,Tennessee TN,1915 Snapps Ferry Road Building N Greeneville Tennessee TN 37745 United States,36.189245,-82.790117
Business Services,1787,2009,HEALTHCARE SERVICES GROUP INC,14509,55000,Pennsylvania PA,3220 Tillman Drive Suite 300 Bensalem Pennsylvania PA 19020 United States,40.1162288,-74.9606052
Banks,1786,428,BANCFIRST CORP,3466,1906,Oklahoma OK,101 North Broadway Oklahoma City  Oklahoma OK 73102 United States,35.4679324,-97.514783
Electricity,1785,1053,CLEARWAY ENERGY INC ,1965798,269,New Jersey NJ,300 Carnegie Center Suite 300 Princeton New Jersey NJ 08540-6213 United States,40.3192648,-74.6514795
Pharmaceuticals and Biotechnology,1785,,APELLIS PHARMACEUTICALS INC,2725802,87,Kentucky KY,6400 Westwind Way Suite A Crestwood Kentucky KY 40014 United States,38.3384726,-85.4768333
Automobiles & Parts,1779,6874,ASBURY AUTOMOTIVE GROUP INC,2696,8200,Georgia GA,2905 Premiere Parkway North West Suite 300 Duluth Georgia GA 30097 United States,34.0051292,-84.093353
Pharmaceuticals and Biotechnology,1778,337,PACIRA BIOSCIENCES INC ,1686117,518,New Jersey NJ,5 Sylvan Way Suite 300 Parsippany New Jersey NJ 07054 United States,40.8475172,-74.4546603
Speciality & Other Finance,1777,138,HANNON ARMSTRONG SUSTAINABLE INFRASTRUCTURE CAPITAL INC,1946860,49,Maryland MD,1906 Towne Centre Boulevard Suite 370 Annapolis Maryland MD 21401 United States,38.9814541,-76.541464
Electronic & Electrical Equipment,1776,1093,IROBOT CORP,464072,1032,Massachusetts MA,8 Crosby Drive Bedford  Massachusetts MA 01730 United States,42.5044951,-71.2442936
Pharmaceuticals and Biotechnology,1776,54,REATA PHARMACEUTICALS INC,2463611,123,Texas TX,2801 Gateway Drive Suite 150 Irving Texas TX 75063 United States,32.8945636,-96.9855992
Electronic & Electrical Equipment,1774,307,INTERDIGITAL INC,1141059,390,Delaware DE,200 Bellevue Parkway Suite 300 Wilmington Delaware DE 19809 United States,39.7795839,-75.4940929
Real Estate,1770,96,ESSENTIAL PROPERTIES REALTY TRUST INC,2829765,18,New Jersey NJ,902 Carnegie Center Boulevard Suite 520 Princeton New Jersey NJ 08540 United States,40.318475,-74.657224
Transport,1768,4178,MERITOR INC ,2671,8600,Michigan MI,2135 West Maple Road Troy  Michigan MI 48084-7186 United States,42.5468443,-83.1761661
Speciality & Other Finance,1762,725,WALKER & DUNLOP INC,1677099,723,Maryland MD,7501 Wisconsin Avenue Suite 1200E Bethesda Maryland MD 20814 United States,38.9853692,-77.0935436
Speciality & Other Finance,1762,,COLUMBIA FINANCIAL INC,2936853,,New Jersey NJ,19-01 Route 208 North Fair Lawn  New Jersey NJ 07410 United States,40.9452106,-74.1310612
Banks,1759,546,AXOS FINANCIAL INC ,643128,801,California CA,4350 La Jolla Village Drive Suite 140 San Diego California CA 92122 United States,32.8740639,-117.2125378
Transport,1759,4977,SCHNEIDER NATIONAL INC,2643828,19400,Wisconsin WI,3101 South Packerland Drive Green Bay  Wisconsin WI 54313 United States,44.4722783,-88.1072964
Utilities - Other,1759,1340,EVOQUA WATER TECHNOLOGIES CORP,2723947,4000,Pennsylvania PA,210 Sixth Avenue Suite 3300 Pittsburgh Pennsylvania PA 15222 United States,40.4420432,-80.0001254
Chemicals,1757,1808,MINERALS TECHNOLOGIES INC,20757,3720,New York NY,622 Third Avenue 38th Floor  New York NY 10017-6707 United States,40.7497798,-73.9757003
Consumer Services,1755,1962,SHUTTERFLY INC,786714,7094,California CA,2800 Bridge Parkway Redwood City  California CA 94065 United States,37.5394161,-122.2566595
Health,1748,5575,PATTERSON COMPANIES INC ,23926,7800,Minnesota MN,1031 Mendota Heights Road Saint Paul  Minnesota MN 55120-1419 United States,44.8668844,-93.1429909
Food Producers & Processors,1741,1089,CALAVO GROWERS INC,647708,2979,California CA,1141-A Cummings Road Santa Paula  California CA 93060 United States,34.3313863,-119.1250261
General Retailers,1733,3167,PRICESMART INC,25025,8680,California CA,9740 Scranton Road San Diego  California CA 92121 United States,32.8972731,-117.2033957
Pharmaceuticals and Biotechnology,1731,251,LIGAND PHARMACEUTICALS INC,18868,116,California CA,3911 Sorrento Valley Boulevard Suite 110 San Diego California CA 92121 United States,32.9024599,-117.2207149
Real Estate,1731,487,REDFIN CORP,2686069,2993,Washington WA,1099 Stewart Street Suite 600 Seattle Washington WA 98101 United States,47.6164946,-122.3325
Banks,1730,555,GREAT WESTERN BANCORP INC,2156835,1664,South Dakota SD,225 South Main Avenue Sioux Falls  South Dakota SD 57104 United States,43.5451043,-96.7290787
Insurance,1728,275,NMI HOLDINGS INC,2007188,304,California CA,2100 Powell Street 12th Floor Emeryville California CA 94608 United States,37.8393639,-122.2980793
Engineering & Machinery,1727,5125,TEREX CORP,30442,11700,Connecticut CT,200 Nyala Farm Road Westport  Connecticut CT 06880 United States,41.1228346,-73.3273007
Oil & Gas,1724,900,MATADOR RESOURCES CO,1795026,264,Texas TX,One Lincoln Centre 5400 LBJ Freeway Suite 1500 Dallas Texas TX 75240 United States,32.9235987,-96.8164932
Business Services,1718,248,SPS COMMERCE INC,1639606,1231,Minnesota MN,333 South Seventh Street Suite 1000 Minneapolis Minnesota MN 55402 United States,44.9743015,-93.2675787
Real Estate,1715,1504,LGI HOMES INC,2006809,857,Texas TX,1450 Lake Robbins Drive Suite 430 The Woodlands Texas TX 77380 United States,30.161871,-95.4561172
Real Estate,1714,1018,UNITI GROUP INC ,2240012,798,Arkansas AR,10802 Executive Center Drive Benton Building Suite 300 Little Rock Arkansas AR 72211 United States,34.7398345,-92.3952049
